Τμήμα,ΠΟΣΟΣΤΟ ΚΑΛΥΨΗΣ ΘΕΣΕΩΝ,Μόρια Πρώτου ΓΕΛ,Μόρια Τελευταίου ΓΕΛ,Βάση ΓΕΛ 2025,Ελάχιστη Βάση,Latitude,Longitude
ΑΓΩΓΗΣ ΚΑΙ ΦΡΟΝΤΙΔΑΣ ΣΤΗΝ ΠΡΩΙΜΗ ΠΑΙΔΙΚΗ ΗΛΙΚΙΑ (ΘΕΣΣΑΛΟΝΙΚΗ),99.33,16425,11250,11250,10775,40.65758393,22.80586656
"ΒΙΒΛΙΟΘΗΚΟΝΟΜΙΑΣ, ΑΡΧΕΙΟΝΟΜΙΑΣ ΚΑΙ ΣΥΣΤΗΜΑΤΩΝ ΠΛΗΡΟΦΟΡΗΣΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ)",96.21,16950,9300,9300,9300,40.65726302,22.80370403
ΒΙΟΪΑΤΡΙΚΩΝ ΕΠΙΣΤΗΜΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ),62.55,16960,14240,14240,14240,40.65745624,22.80506305
ΓΕΩΠΟΝΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ) - ΔΙ.ΠΑ.Ε.,59.73,14460,11040,11040,10740,40.65695296,22.80262442
ΔΗΜΙΟΥΡΓΙΚΟΥ ΣΧΕΔΙΑΣΜΟΥ ΚΑΙ ΕΝΔΥΣΗΣ (ΚΙΛΚΙΣ),91.62,16400,8650,8650,8650,41.00189629,22.84605671
ΔΙΟΙΚΗΣΗΣ ΕΦΟΔΙΑΣΤΙΚΗΣ ΑΛΥΣΙΔΑΣ (ΚΑΤΕΡΙΝΗ),97.95,14730,9660,9660,7950,40.2638866,22.51071174
"ΔΙΟΙΚΗΣΗΣ ΟΡΓΑΝΙΣΜΩΝ, ΜΑΡΚΕΤΙΝΓΚ ΚΑΙ ΤΟΥΡΙΣΜΟΥ (ΘΕΣΣΑΛΟΝΙΚΗ)",96.01,17320,12170,12170,9250,40.65671035,22.80387995
ΕΠΙΣΤΗΜΗΣ ΚΑΙ ΤΕΧΝΟΛΟΓΙΑΣ ΤΡΟΦΙΜΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ),94.85,15360,12650,12650,11375,40.65613507,22.80247132
ΕΠΙΣΤΗΜΩΝ ΔΙΑΤΡΟΦΗΣ ΚΑΙ ΔΙΑΙΤΟΛΟΓΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ),94.57,16610,13850,13850,13850,40.65834916,22.80400556
ΕΣΩΤΕΡΙΚΗΣ ΑΡΧΙΤΕΚΤΟΝΙΚΗΣ (ΣΕΡΡΕΣ),98.41,18285,13545,13545,11275,41.07473365,23.55118578
ΛΟΓΙΣΤΙΚΗΣ ΚΑΙ ΠΛΗΡΟΦΟΡΙΑΚΩΝ ΣΥΣΤΗΜΑΤΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ),93.65,14760,12360,12360,10930,40.65671872,22.80381654
ΜΑΙΕΥΤΙΚΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ),28.68,16213,13241,13241,12026,40.65721914,22.80645206
ΜΗΧΑΝΙΚΩΝ ΠΑΡΑΓΩΓΗΣ ΚΑΙ ΔΙΟΙΚΗΣΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ),97.32,16375,12585,12585,11300,40.65601002,22.80418394
ΜΗΧΑΝΙΚΩΝ ΠΕΡΙΒΑΛΛΟΝΤΟΣ (ΘΕΣΣΑΛΟΝΙΚΗ),95.04,15315,10510,10510,10510,40.65659332,22.80264782
ΜΗΧΑΝΙΚΩΝ ΠΛΗΡΟΦΟΡΙΚΗΣ ΚΑΙ ΗΛΕΚΤΡΟΝΙΚΩΝ ΣΥΣΤΗΜΑΤΩΝ (ΘΕΣΣΑΛΟΝΙΚΗ),99.07,17355,14740,14740,10730,40.65564968,22.80593593
"ΜΗΧΑΝΙΚΩΝ ΠΛΗΡΟΦΟΡΙΚΗΣ, ΥΠΟΛΟΓΙΣΤΩΝ ΚΑΙ ΤΗΛΕΠΙΚΟΙΝΩΝΙΩΝ (ΣΕΡΡΕΣ)",94.35,17910,13450,13450,9730,41.0749693,23.55556205
ΜΗΧΑΝΙΚΩΝ ΤΟΠΟΓΡΑΦΙΑΣ ΚΑΙ ΓΕΩΠΛΗΡΟΦΟΡΙΚΗΣ (ΣΕΡΡΕΣ),91.04,13030,11280,11280,10620,41.0742864,23.55563223
ΜΗΧΑΝΟΛΟΓΩΝ ΜΗΧΑΝΙΚΩΝ (ΣΕΡΡΕΣ),94.93,16380,11980,11980,10390,41.07480579,23.55235321
ΝΟΣΗΛΕΥΤΙΚΗΣ (ΘΕΣΣΑΛΟΝΙΚΗ),95.71,15315,12790,12790,12655,40.65744952,22.80478214
ΟΙΚΟΝΟΜΙΚΩΝ ΕΠΙΣΤΗΜΩΝ (ΣΕΡΡΕΣ),92.9,14430,9555,9555,8175,41.07525785,23.55234683
ΟΡΓΑΝΩΣΗΣ ΚΑΙ ΔΙΟΙΚΗΣΗΣ ΕΠΙΧΕΙΡΗΣΕΩΝ (ΣΕΡΡΕΣ),93.91,15675,8950,8950,8600,41.07537807,23.55159406
ΠΟΛΙΤΙΚΩΝ ΜΗΧΑΝΙΚΩΝ (ΣΕΡΡΕΣ),92.86,13812,12154,12154,9725,41.0742335,23.55187476
ΦΥΣΙΚΟΘΕΡΑΠΕΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ),97.18,17955,15100,15100,15075,40.65751625,22.80444382
